"code","date","value","uname","tcode"
"PNADCA_PCT25SFUUF",2023-01-01,42.8,"States",29
"PNADCA_PCT25SFUUF",2024-01-01,40,"States",29
"PNADCA_PCT25SFUUF",2016-01-01,44,"States",31
"PNADCA_PCT25SFUUF",2017-01-01,43.9,"States",31
"PNADCA_PCT25SFUUF",2018-01-01,42.5,"States",31
"PNADCA_PCT25SFUUF",2019-01-01,41.6,"States",31
"PNADCA_PCT25SFUUF",2022-01-01,38.2,"States",31
"PNADCA_PCT25SFUUF",2023-01-01,36.8,"States",31
"PNADCA_PCT25SFUUF",2024-01-01,35,"States",31
"PNADCA_PCT25SFUUF",2016-01-01,40.3,"States",32
"PNADCA_PCT25SFUUF",2017-01-01,38.8,"States",32
"PNADCA_PCT25SFUUF",2018-01-01,38.5,"States",32
"PNADCA_PCT25SFUUF",2019-01-01,37.7,"States",32
"PNADCA_PCT25SFUUF",2022-01-01,34.3,"States",32
"PNADCA_PCT25SFUUF",2023-01-01,33.9,"States",32
"PNADCA_PCT25SFUUF",2024-01-01,31.4,"States",32
"PNADCA_PCT25SFUUF",2016-01-01,30.8,"States",33
"PNADCA_PCT25SFUUF",2017-01-01,30.1,"States",33
"PNADCA_PCT25SFUUF",2018-01-01,27.9,"States",33
"PNADCA_PCT25SFUUF",2019-01-01,26.5,"States",33
"PNADCA_PCT25SFUUF",2022-01-01,23.7,"States",33
"PNADCA_PCT25SFUUF",2023-01-01,22.7,"States",33
"PNADCA_PCT25SFUUF",2024-01-01,22.9,"States",33
"PNADCA_PCT25SFUUF",2016-01-01,30.2,"States",35
"PNADCA_PCT25SFUUF",2017-01-01,28.7,"States",35
"PNADCA_PCT25SFUUF",2018-01-01,28.5,"States",35
"PNADCA_PCT25SFUUF",2019-01-01,27.6,"States",35
"PNADCA_PCT25SFUUF",2022-01-01,24.8,"States",35
"PNADCA_PCT25SFUUF",2023-01-01,24.7,"States",35
"PNADCA_PCT25SFUUF",2024-01-01,23.8,"States",35
"PNADCA_PCT25SFUUF",2016-01-01,39.1,"States",41
"PNADCA_PCT25SFUUF",2017-01-01,39.2,"States",41
"PNADCA_PCT25SFUUF",2018-01-01,38.5,"States",41
"PNADCA_PCT25SFUUF",2019-01-01,36.4,"States",41
"PNADCA_PCT25SFUUF",2022-01-01,34.3,"States",41
"PNADCA_PCT25SFUUF",2023-01-01,32.9,"States",41
"PNADCA_PCT25SFUUF",2024-01-01,32.5,"States",41
"PNADCA_PCT25SFUUF",2016-01-01,38.7,"States",42
"PNADCA_PCT25SFUUF",2017-01-01,37,"States",42
"PNADCA_PCT25SFUUF",2018-01-01,35.6,"States",42
"PNADCA_PCT25SFUUF",2019-01-01,34,"States",42
"PNADCA_PCT25SFUUF",2022-01-01,30.7,"States",42
"PNADCA_PCT25SFUUF",2023-01-01,30.4,"States",42
"PNADCA_PCT25SFUUF",2024-01-01,27.7,"States",42
"PNADCA_PCT25SFUUF",2016-01-01,39.4,"States",43
"PNADCA_PCT25SFUUF",2017-01-01,39,"States",43
"PNADCA_PCT25SFUUF",2018-01-01,38.7,"States",43
"PNADCA_PCT25SFUUF",2019-01-01,35.8,"States",43
"PNADCA_PCT25SFUUF",2022-01-01,33.4,"States",43
"PNADCA_PCT25SFUUF",2023-01-01,33.6,"States",43
"PNADCA_PCT25SFUUF",2024-01-01,31.6,"States",43
"PNADCA_PCT25SFUUF",2016-01-01,44.1,"States",50
"PNADCA_PCT25SFUUF",2017-01-01,41.3,"States",50
"PNADCA_PCT25SFUUF",2018-01-01,41.1,"States",50
"PNADCA_PCT25SFUUF",2019-01-01,39.4,"States",50
"PNADCA_PCT25SFUUF",2022-01-01,33.7,"States",50
"PNADCA_PCT25SFUUF",2023-01-01,32.9,"States",50
"PNADCA_PCT25SFUUF",2024-01-01,32,"States",50
"PNADCA_PCT25SFUUF",2016-01-01,43.6,"States",51
"PNADCA_PCT25SFUUF",2017-01-01,43.1,"States",51
"PNADCA_PCT25SFUUF",2018-01-01,41.3,"States",51
"PNADCA_PCT25SFUUF",2019-01-01,38.6,"States",51
"PNADCA_PCT25SFUUF",2022-01-01,35.2,"States",51
"PNADCA_PCT25SFUUF",2023-01-01,32.6,"States",51
"PNADCA_PCT25SFUUF",2024-01-01,29.5,"States",51
"PNADCA_PCT25SFUUF",2016-01-01,40.7,"States",52
"PNADCA_PCT25SFUUF",2017-01-01,40.8,"States",52
"PNADCA_PCT25SFUUF",2018-01-01,39.3,"States",52
"PNADCA_PCT25SFUUF",2019-01-01,37.8,"States",52
"PNADCA_PCT25SFUUF",2022-01-01,34.4,"States",52
"PNADCA_PCT25SFUUF",2023-01-01,31.9,"States",52
"PNADCA_PCT25SFUUF",2024-01-01,30.2,"States",52
"PNADCA_PCT25SFUUF",2016-01-01,22.9,"States",53
"PNADCA_PCT25SFUUF",2017-01-01,23.4,"States",53
"PNADCA_PCT25SFUUF",2018-01-01,23,"States",53
"PNADCA_PCT25SFUUF",2019-01-01,21.8,"States",53
"PNADCA_PCT25SFUUF",2022-01-01,19.2,"States",53
"PNADCA_PCT25SFUUF",2023-01-01,17.8,"States",53
"PNADCA_PCT25SFUUF",2024-01-01,17,"States",53
